"Quantity","LCSC Part Number","Value","Footprint"
"2","C7603442","1x4 screw plug",""
"2","C1634","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"1","C1790","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"15","C28233","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"1","C28323","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"8","C440198","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"4","C45783","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"2","C16780","47u/6V3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"2","C123062","6V8","D_SOD-323_HandSoldering"
"5","C8598","B5819W","D_SOD-123"
"1","C2297","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"20","C5356080","RED","LED_1206_3216Metric_ReverseMount"
"1","C22378353","250mA","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"2","C30182781","thread","post_m3x12.5mm"
"2","C880556","BUS","PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical"
"1","C3975153","Back","PinSocket_2x08_P2.54mm_Vertical_SMD"
"1","C11075","FFC","AFC11-S24ICC-00"
"1","C5160782","Front","PinHeader_2x08_P2.54mm_Vertical_SMD"
"1","C22383836","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7082G"
"1","C5832373","3.3uH","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder"
"1","C20526","MMBT3904","SOT-23"
"4","C127687","0R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"2","C17561","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"16","C17673","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"3","C17414","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"1","C17560","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"1","C17713","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"1","C17470","150k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"1","C17539","200k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"2","C2885154","15mm","SW_SPST_15"
"1","C976366","SW_DIP_x04","SW_DIP_SPSTx04_Slide_6.2x11.16mm_P2.54mm"
"2","C5947","74HC595","SOIC-16_3.9x9.9mm_P1.27mm"
"2","C5441728","GX101","SOT-23-6"
"1","C5446","JTD6206-3.3V","SOT-23"
"1","C20754712","LW6550A23E","SOT-23-5"
"1","C2932938","ME3121AM6G","SOT-23-6"
"2","C845537","ULN2803A","SOIC-18W_7.5x11.6mm_P1.27mm"
"1","C2687116","USBLC6-2SC6","SOT-23-6"
"1","C609746","XL1050","SOIC-8_3.9x4.9mm_P1.27mm"
"1","C2858491","esp32-C3FH4X","QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm"
"1","C19191260","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm"
